,title,view,like,unlike,comment,date,token2
41,크림진짬뽕 해먹기 20201112/Mukbang eating show,579597.0,8100.0,208.0,302.0,2020. 11. 12.,"['짬뽕', '크림']"
42,곰표 말표 20201110/Mukbang eating show,219326.0,300.0,116.0,206.0,2020. 11. 10.,[]
43,짜장면20201110/Mukbang eating show,328815.0,4700.0,170.0,258.0,2020. 11. 10.,['짜장면']
44,김장김치엔 수육 20201109/Mukbang eating show,411783.0,6700.0,200.0,316.0,2020. 11. 9.,"['김장', '수육', '김치']"
45,[ENG] 반올림피자와 붐바스틱+ 한우 먹방편 /20201104방송 편집버전,198181.0,2700.0,52.0,168.0,2020. 11. 8.,"['피자', '반올림', '스틱']"
46,[ENG] 초밥 60개와 우동 먹방편 /20201103방송 편집버전,200511.0,2900.0,80.0,160.0,2020. 11. 7.,[]
47,(광고예용) 햇님이 뽑은  TOP 3 제품은  [어디까지팔아봤니2] 20201104/Mukbang,100918.0,1600.0,60.0,107.0,2020. 11. 6.,"['제품', '광고']"
48,곱창전골+우동 20201105/Mukbang eating show,347210.0,4800.0,158.0,219.0,2020. 11. 5.,"['전골', '곱창']"
49,한우++  20201104/Mukbang eating show,265225.0,3400.0,128.0,249.0,2020. 11. 4.,['한우']
50,추억의 슈퍼 빵들 20201103/Mukbang eating show,193278.0,2700.0,95.0,221.0,2020. 11. 3.,"['추억', '슈퍼']"
51,뜨끈한 우동 + VIP초밥 20201103/Mukbang eating show,245181.0,3500.0,86.0,157.0,2020. 11. 3.,['초밥']
52,파리바게트 케이크들 20201102/Mukbang eating show,288495.0,3900.0,95.0,295.0,2020. 11. 2.,"['케이크', '바게트', '파리']"
53,뭬님의 라면가게(종합편) 20201102/Mukbang eating show,304672.0,4400.0,167.0,253.0,2020. 11. 2.,"['종합', '라면', '가게']"
54,[ENG] 비빔밥 먹방편 /20201029방송 편집버전,269993.0,3800.0,73.0,301.0,2020. 11. 1.,['비빔']
55,[ENG] 수제버거와 후식 응급실떡볶이 먹방편 /20201026방송 편집버전,223018.0,300.0,71.0,168.0,2020. 10. 31.,"['응급실', '떡볶이', '후식']"
56,(광고예용)  돼지콩나물두루치기 반건조 민물장어 크루와상식빵  [어디까지팔아봤니2] 20201028/Mukbang,111169.0,1700.0,68.0,92.0,2020. 10. 30.,"['돼지', '치기', '장어', '크루', '광고', '민물', '반건조', '콩나물', '상식']"
57,섭웨이 20201029/Mukbang eating show,168745.0,2500.0,78.0,137.0,2020. 10. 29.,[]
58,비빔밥 20201029/Mukbang eating show,369389.0,5900.0,221.0,558.0,2020. 10. 29.,['비빔밥']
59,미국 간식들 20201027/Mukbang eating show,213700.0,2900.0,110.0,358.0,2020. 10. 27.,['간식']
60,햇님표 스팸참치김치찌개 20201027/Mukbang eating show,339751.0,4600.0,145.0,232.0,2020. 10. 27.,"['김치찌개', '참치']"
61,응급실떡볶이 +치즈 2개 추가 20201027/Mukbang eating show,275653.0,3600.0,94.0,243.0,2020. 10. 26.,"['치즈', '추가', '응급실', '떡볶이']"
62,수제버거로 입맛 올리기 20201026/Mukbang eating show,158829.0,2600.0,67.0,156.0,2020. 10. 26.,['입맛']
63,[ENG] 자담 맵슐랭과 메이플버터갈릭치킨 먹방편 /20201020방송 편집버전,285772.0,3300.0,75.0,193.0,2020. 10. 25.,"['갈릭', '버터', '치킨', '자담', '메이']"
64,[ENG] 뭬님의 라면가게 -진라면 먹방편 /20201019방송 편집버전,459746.0,6400.0,135.0,477.0,2020. 10. 24.,"['진라면', '라면', '가게']"
65,(광고예용) 순살닭볶음탕과 한우떡갈비 완도활전복 까지 [어디까지팔아봤니2] 20201021/Mukbang,156293.0,2300.0,83.0,120.0,2020. 10. 23.,"['광고', '한우', '닭볶음탕', '전복', '떡갈비']"
66,뚜레쥬르 본점 빵 먹고 짬뽕 먹고 빵 먹고20201022/Mukbang eating show,482810.0,5900.0,201.0,398.0,2020. 10. 22.,"['짬뽕', '본점']"
67,'광희나는 메이플버터갈릭치킨' '맵슐랭치킨'2020/Mukbang eating show,845444.0,9400.0,297.0,503.0,2020. 10. 20.,"['갈릭', '버터', '치킨', '메이', '광희']"
68,홍홍홍20201019/Mukbang eating show,239194.0,300.0,102.0,197.0,2020. 10. 19.,[]
69,뭬님의 라면가게 (진라면편)20201019/Mukbang eating show,418681.0,5900.0,183.0,471.0,2020. 10. 19.,"['진라면', '라면', '가게']"
70,[ENG] 백순대와 볶음밥 후식 케이크 까지 먹방편 /20201013방송 편집버전,165452.0,2100.0,51.0,134.0,2020. 10. 18.,"['순대', '케이크', '볶음밥', '후식']"
71,[ENG]  아웃백 스페셜 먹방편 /20201012방송 편집버전,283252.0,3700.0,76.0,181.0,2020. 10. 17.,"['스페셜', '아웃']"
72,(광고예용) 돈육김치찜과 명란젓 후식 수제단팥빵까지 [어디까지팔아봤니2] 20201014/Mukbang,210970.0,3300.0,138.0,194.0,2020. 10. 16.,"['수제', '돈육', '광고', '명란젓', '단팥빵', '김치', '후식']"
73,저녁은 생어거스틴 20201015/Mukbang eating show,275440.0,3700.0,147.0,212.0,2020. 10. 15.,"['저녁', '어거']"
74,브런취로 맥모닝 20201015/Mukbang eating show,355763.0,6200.0,153.0,442.0,2020. 10. 14.,['모닝']
75,파리바게트 고구마 케이크 20201013/Mukbang eating show,205342.0,2800.0,85.0,249.0,2020. 10. 13.,"['고구마', '케이크', '바게트', '파리']"
76,신림동 백순대 +볶음밥 20201013/Mukbang eating show,193130.0,3100.0,120.0,176.0,2020. 10. 13.,['순대']
77,아웃백 20201012/Mukbang eating show,419733.0,5400.0,230.0,307.0,2020. 10. 12.,['아웃']
78,[ENG] 편의점 스페셜 먹방편 /20201006방송 편집버전,260405.0,3300.0,88.0,162.0,2020. 10. 11.,"['스페셜', '편의점']"
79,[ENG] 곱창떡볶이&치즈떡볶이와 후식 먹방편 /20201005방송 편집버전,253936.0,3300.0,76.0,139.0,2020. 10. 10.,"['치즈', '곱창', '떡볶이', '후식']"
80,얼그레이 쉬폰 케이크 20201008/Mukbang eating show,225999.0,3100.0,101.0,211.0,2020. 10. 8.,"['케이크', '그레이', '쉬폰']"
81,쌈싸먹는 방송 20201008/Mukbang eating show,270904.0,4200.0,131.0,204.0,2020. 10. 8.,[]
82,편의점 스페샬 20201006/Mukbang eating show,426004.0,5600.0,244.0,371.0,2020. 10. 6.,['편의점']
83,초코초코무스케이크 20201005/Mukbang eating show,218458.0,300.0,91.0,192.0,2020. 10. 5.,"['무스', '케이크']"
84,소곱창떡볶이 vs 치즈떡볶이 20201005/Mukbang eating show,265691.0,4100.0,120.0,159.0,2020. 10. 5.,"['치즈', '곱창', '떡볶이']"
85,[ENG]  반올림피자샵과 후식 낙곱새 먹방편 /20200930방송 편집버전,317727.0,400.0,82.0,291.0,2020. 10. 4.,"['피자', '반올림', '후식']"
86,[ENG] 덮밥 스페셜과 후식 아닌 후식() 먹방편 /20200928방송 편집버전,261190.0,3500.0,71.0,179.0,2020. 10. 3.,"['스페셜', '덮밥', '후식']"
87,곱창으로 수플레를 잊어 본다 20201001/Mukbang eating show,398715.0,4600.0,144.0,243.0,2020. 10. 1.,"['곱창', '수플레']"
88,수플레 팬케이크 해먹기 20201001/Mukbang eating show,257306.0,4100.0,113.0,539.0,2020. 10. 1.,"['팬케이크', '수플레']"
89,낙곱새의 복선그리고 피자 20200930/Mukbang eating show,358095.0,4700.0,170.0,278.0,2020. 9. 30.,"['피자', '복선']"
90,고기의 복선그리고 짜장면 어택 20200929/Mukbang eating show,487806.0,5800.0,216.0,306.0,2020. 9. 29.,"['고기', '복선', '어택', '짜장면']"
91,덮밥특집 + 게스 + 누크 20200928/Mukbang eating show,270141.0,3900.0,126.0,280.0,2020. 9. 28.,"['특집', '덮밥']"
92,[ENG] 투다리 꼬치 먹방편 /20200922방송 편집버전,368188.0,4400.0,94.0,262.0,2020. 9. 27.,"['다리', '꼬치']"
93,[ENG] 크림까르보불닭과 자담치킨 (+후식) 먹방편 /20200920방송 편집버전,403350.0,5200.0,94.0,234.0,2020. 9. 26.,"['크림', '보불', '치킨', '자담', '후식']"
94,이래도 되나 싶게 떡국() 끓이기 20200925/Mukbang eating show,253466.0,5300.0,131.0,532.0,2020. 9. 25.,['떡국']
95,부산 '전포명가떡집' 팥소절편 그리고 속마음 털어 놓은 시간 20200924/Mukbang eating show,512754.0,7100.0,201.0,690.0,2020. 9. 24.,"['전포', '속마음', '절편', '팥소', '시간', '명가', '떡집', '부산']"
96,오늘밤 잠은 다 잤다20200924/Mukbang eating show,207973.0,3400.0,89.0,179.0,2020. 9. 24.,['오늘']
97,고구마 케이크를 먹는단 말이지 말입니다 20200923/Mukbang eating show,185007.0,2300.0,75.0,169.0,2020. 9. 23.,"['고구마', '케이크']"
98,꾸덕꾸덕 로제찜닭파스타 20200923/Mukbang eating show,485307.0,6200.0,140.0,278.0,2020. 9. 23.,"['파스타', '로제']"
99,꼬치와  20200922/Mukbang eating show,405895.0,500.0,209.0,497.0,2020. 9. 22.,['꼬치']
100,간만에 투썸 20200921/Mukbang eating show,246690.0,3500.0,120.0,270.0,2020. 9. 21.,['간만']
101,꼬막비빔밥에 시원한 골뱅이탕 2020921/Mukbang eating show,208252.0,3100.0,115.0,170.0,2020. 9. 21.,"['꼬막', '비빔밥', '골뱅이']"
102,크림까르보불닭과 자담 치 킨 20200920/Mukbang eating show,529832.0,7700.0,210.0,524.0,2020. 9. 20.,"['크림', '보불', '자담']"
103,[ENG] 디저트() 특집편 /20200914방송 편집버전,356460.0,4500.0,102.0,380.0,2020. 9. 19.,"['디저트', '특집']"
104,(광고예용) 녹차로 숙성한 돼지구이와 상큼달달한 황금향&샤인머스캣까지  [어디까지팔아봤니2] 20200916/Mukbang,241979.0,3300.0,164.0,582.0,2020. 9. 18.,"['돼지', '황금', '녹차', '숙성', '광고', '머스캣', '구이']"
105,고기국에 떡사리 추가 20200917/Mukbang eating show,387622.0,5800.0,215.0,465.0,2020. 9. 17.,"['추가', '고기', '사리']"
106,오늘은 껍데기곱창만 20200915/Mukbang eating show,414023.0,5600.0,149.0,381.0,2020. 9. 15.,"['곱창', '오늘', '껍데기']"
