title,view,like,unlike,comment,date
[ENG] 초밥 60개와 우동 먹방편~! /20201103방송 편집버전,"조회수 200,511회",2.9천,80,댓글 160개,2020. 11. 7.
(광고예용) 햇님이 뽑은  TOP 3 제품은?!  [어디까지팔아봤니2] 20201104/Mukbang,"조회수 100,918회",1.6천,60,댓글 107개,2020. 11. 6.
"곱창전골+우동 20201105/Mukbang, eating show","조회수 347,210회",4.8천,158,댓글 219개,2020. 11. 5.
"한우++  20201104/Mukbang, eating show","조회수 265,225회",3.4천,128,댓글 249개,2020. 11. 4.
"추억의 슈퍼 빵들 20201103/Mukbang, eating show","조회수 193,278회",2.7천,95,댓글 221개,2020. 11. 3.
"뜨끈한 우동 + VIP초밥 20201103/Mukbang, eating show","조회수 245,181회",3.5천,86,댓글 157개,2020. 11. 3.
"파리바게트 케이크들 20201102/Mukbang, eating show","조회수 288,495회",3.9천,95,댓글 295개,2020. 11. 2.
"뭬님의 라면가게(종합편) 20201102/Mukbang, eating show","조회수 304,672회",4.4천,167,댓글 253개,2020. 11. 2.
[ENG] 비빔밥 먹방편~! /20201029방송 편집버전,"조회수 269,993회",3.8천,73,댓글 301개,2020. 11. 1.
[ENG] 수제버거와 후식 응급실떡볶이 먹방편~! /20201026방송 편집버전,"조회수 223,018회",3천,71,댓글 168개,2020. 10. 31.
"(광고예용)  돼지콩나물두루치기, 반건조 민물장어, 크루와상식빵!  [어디까지팔아봤니2] 20201028/Mukbang","조회수 111,169회",1.7천,68,댓글 92개,2020. 10. 30.
"섭웨이 20201029/Mukbang, eating show","조회수 168,745회",2.5천,78,댓글 137개,2020. 10. 29.
"비빔밥 20201029/Mukbang, eating show","조회수 369,389회",5.9천,221,댓글 558개,2020. 10. 29.
"미국 간식들 20201027/Mukbang, eating show","조회수 213,700회",2.9천,110,댓글 358개,2020. 10. 27.
"햇님표 스팸참치김치찌개 20201027/Mukbang, eating show","조회수 339,751회",4.6천,145,댓글 232개,2020. 10. 27.
"응급실떡볶이 +치즈 2개 추가 20201027/Mukbang, eating show","조회수 275,653회",3.6천,94,댓글 243개,2020. 10. 26.
"수제버거로 입맛 올리기 20201026/Mukbang, eating show","조회수 158,829회",2.6천,67,댓글 156개,2020. 10. 26.
[ENG] 자담 맵슐랭과 메이플버터갈릭치킨 먹방편~! /20201020방송 편집버전,"조회수 285,772회",3.3천,75,댓글 193개,2020. 10. 25.
[ENG] 뭬님의 라면가게 -진라면 먹방편~! /20201019방송 편집버전,"조회수 459,746회",6.4천,135,댓글 477개,2020. 10. 24.
"(광고예용) 순살닭볶음탕과 한우떡갈비, 완도활전복 까지!! [어디까지팔아봤니2] 20201021/Mukbang","조회수 156,293회",2.3천,83,댓글 120개,2020. 10. 23.
"뚜레쥬르 본점 빵 먹고, 짬뽕 먹고, 빵 먹고.....20201022/Mukbang, eating show","조회수 482,810회",5.9천,201,댓글 398개,2020. 10. 22.
"'광희나는 메이플버터갈릭치킨' '맵슐랭치킨'2020/Mukbang, eating show","조회수 845,444회",9.4천,297,댓글 503개,2020. 10. 20.
"홍~홍~홍~20201019/Mukbang, eating show","조회수 239,194회",3천,102,댓글 197개,2020. 10. 19.
"뭬님의 라면가게 (진라면편)20201019/Mukbang, eating show","조회수 418,681회",5.9천,183,댓글 471개,2020. 10. 19.
[ENG] 백순대와 볶음밥 후식 케이크 까지 먹방편~! /20201013방송 편집버전,"조회수 165,452회",2.1천,51,댓글 134개,2020. 10. 18.
[ENG]  아웃백 스페셜 먹방편~! /20201012방송 편집버전,"조회수 283,252회",3.7천,76,댓글 181개,2020. 10. 17.
(광고예용) 돈육김치찜과 명란젓 후식 수제단팥빵까지 [어디까지팔아봤니2] 20201014/Mukbang,"조회수 210,970회",3.3천,138,댓글 194개,2020. 10. 16.
"저녁은 생어거스틴 20201015/Mukbang, eating show","조회수 275,440회",3.7천,147,댓글 212개,2020. 10. 15.
"브런취로 맥모닝 20201015/Mukbang, eating show","조회수 355,763회",6.2천,153,댓글 442개,2020. 10. 14.
"파리바게트 고구마 케이크 20201013/Mukbang, eating show","조회수 205,342회",2.8천,85,댓글 249개,2020. 10. 13.
"신림동 백순대 +볶음밥 20201013/Mukbang, eating show","조회수 193,130회",3.1천,120,댓글 176개,2020. 10. 13.
"아웃백 20201012/Mukbang, eating show","조회수 419,733회",5.4천,230,댓글 307개,2020. 10. 12.
[ENG] 편의점 스페셜 먹방편~! /20201006방송 편집버전,"조회수 260,405회",3.3천,88,댓글 162개,2020. 10. 11.
[ENG] 곱창떡볶이&치즈떡볶이와 후식 먹방편~! /20201005방송 편집버전,"조회수 253,936회",3.3천,76,댓글 139개,2020. 10. 10.
"얼그레이 쉬폰 케이크 20201008/Mukbang, eating show","조회수 225,999회",3.1천,101,댓글 211개,2020. 10. 8.
"쌈싸먹는 방송 20201008/Mukbang, eating show","조회수 270,904회",4.2천,131,댓글 204개,2020. 10. 8.
"편의점 스페샬 20201006/Mukbang, eating show","조회수 426,004회",5.6천,244,댓글 371개,2020. 10. 6.
"초코초코무스케이크 20201005/Mukbang, eating show","조회수 218,458회",3천,91,댓글 192개,2020. 10. 5.
"소곱창떡볶이 vs 치즈떡볶이 20201005/Mukbang, eating show","조회수 265,691회",4.1천,120,댓글 159개,2020. 10. 5.
[ENG]  반올림피자샵과 후식 낙곱새 먹방편~! /20200930방송 편집버전,"조회수 317,727회",4천,82,댓글 291개,2020. 10. 4.
[ENG] 덮밥 스페셜과 후식 아닌 후식(?) 먹방편~! /20200928방송 편집버전,"조회수 261,190회",3.5천,71,댓글 179개,2020. 10. 3.
"곱창으로 수플레를 잊어 본다 20201001/Mukbang, eating show","조회수 398,715회",4.6천,144,댓글 243개,2020. 10. 1.
"수플레 팬케이크 해먹기 20201001/Mukbang, eating show","조회수 257,306회",4.1천,113,댓글 539개,2020. 10. 1.
"낙곱새의 복선...그리고 피자 20200930/Mukbang, eating show","조회수 358,095회",4.7천,170,댓글 278개,2020. 9. 30.
"고기의 복선...그리고 짜장면 어택 20200929/Mukbang, eating show","조회수 487,806회",5.8천,216,댓글 306개,2020. 9. 29.
"덮밥특집 + 게스 + 누크 20200928/Mukbang, eating show","조회수 270,141회",3.9천,126,댓글 280개,2020. 9. 28.
[ENG] 투다리 꼬치 먹방편~! /20200922방송 편집버전,"조회수 368,188회",4.4천,94,댓글 262개,2020. 9. 27.
[ENG] 크림까르보불닭과 자담치킨 (+후식) 먹방편~! /20200920방송 편집버전,"조회수 403,350회",5.2천,94,댓글 234개,2020. 9. 26.
"이래도 되나~ 싶게 떡국(?) 끓이기 20200925/Mukbang, eating show","조회수 253,466회",5.3천,131,댓글 532개,2020. 9. 25.
"부산 '전포명가떡집' 팥소절편 그리고 속마음 털어 놓은 시간. 20200924/Mukbang, eating show","조회수 512,754회",7.1천,201,댓글 690개,2020. 9. 24.
"오늘밤 잠은 다 잤다..20200924/Mukbang, eating show","조회수 207,973회",3.4천,89,댓글 179개,2020. 9. 24.
"고구마 케이크를 먹는단 말이지 말입니다. 20200923/Mukbang, eating show","조회수 185,007회",2.3천,75,댓글 169개,2020. 9. 23.
"꾸덕꾸덕 로제찜닭파스타 20200923/Mukbang, eating show","조회수 485,307회",6.2천,140,댓글 278개,2020. 9. 23.
"꼬치와 .... 20200922/Mukbang, eating show","조회수 405,895회",5천,209,댓글 497개,2020. 9. 22.
"간만에 투썸~ 20200921/Mukbang, eating show","조회수 246,690회",3.5천,120,댓글 270개,2020. 9. 21.
"꼬막비빔밥에 시원한 골뱅이탕 2020921/Mukbang, eating show","조회수 208,252회",3.1천,115,댓글 170개,2020. 9. 21.
"크림까르보불닭과 자~담 치~ 킨! 20200920/Mukbang, eating show","조회수 529,832회",7.7천,210,댓글 524개,2020. 9. 20.
[ENG] 디저트(?) 특집편~! /20200914방송 편집버전,"조회수 356,460회",4.5천,102,댓글 380개,2020. 9. 19.
(광고예용) 녹차로 숙성한 돼지구이와 상큼달달한 황금향&샤인머스캣까지  [어디까지팔아봤니2] 20200916/Mukbang,"조회수 241,979회",3.3천,164,댓글 582개,2020. 9. 18.
"고기국에 떡사리 추가 20200917/Mukbang, eating show","조회수 387,622회",5.8천,215,댓글 465개,2020. 9. 17.
"오늘은 껍데기곱창만!!! 20200915/Mukbang, eating show","조회수 414,023회",5.6천,149,댓글 381개,2020. 9. 15.
"디저트 특집이라고는 했지만 디저트만 먹는다고는 안했....2020/Mukbang, eating show","조회수 984,019회",1.1만,522,댓글 945개,2020. 9. 14.
"[ENG] 떡으로 시작해서...평양냉면,크로켓 등 먹방편~! /20200910방송 편집버전","조회수 423,610회",5.4천,102,댓글 348개,2020. 9. 13.
"[ENG] 통삼겹김치찜과 계란말이, 푸하하크림빵 먹방편~! /방송 편집버전   20200907/Mukbang, eating show","조회수 475,891회",6.6천,139,댓글 412개,2020. 9. 12.
"떡으로 시작해서...20200910/Mukbang, eating show","조회수 649,900회",9.6천,301,댓글 834개,2020. 9. 10.
"족발로 시작해서...20200909/Mukbang, eating show","조회수 1,086,030회",1만,752,댓글 694개,2020. 9. 9.
"피자와 치킨은 진리 + 서울우유 아이스크림  20200908/Mukbang, eating show","조회수 685,963회",8.6천,277,댓글 551개,2020. 9. 8.
"'푸하하크림빵' 소금크림빵 20200907/Mukbang, eating show","조회수 333,098회",4.5천,115,댓글 285개,2020. 9. 7.
"통삼겹김치찜에 계란말이 20200907/Mukbang, eating show","조회수 499,254회",8.7천,185,댓글 539개,2020. 9. 7.
[ENG] 부추비빔밥과 된장찌개 묵사발 먹방편~! /20200903방송 편집버전,"조회수 211,964회",3.3천,64,댓글 184개,2020. 9. 6.
"[ENG] 햇님의 인생떡볶이, 우리할매떡볶이 먹방편~! /20200831방송 편집버전","조회수 608,318회",8.4천,166,댓글 434개,2020. 9. 5.
"뭬님의 라면가게(참깨라면)  20200904/Mukbang, eating show","조회수 525,919회",7.3천,236,댓글 555개,2020. 9. 5.
(광고예용) 불향 가득 무뼈닭발과 고소한 누룽지에 달달한 마카롱 후식까지!!  [어디까지팔아봤니2] 20200902/Mukbang,"조회수 294,476회",4.7천,127,댓글 352개,2020. 9. 4.
"'맛남의광장' 부추비빔밥해먹기 20200903/Mukbang, eating show","조회수 408,510회",6.7천,216,댓글 410개,2020. 9. 3.
"육회로 시작해서 육회로 끝나는..20200901/Mukbang, eating show","조회수 625,899회",1만,210,댓글 586개,2020. 9. 1.
"'파리크라상' 망고크레이프 케이크 20200831/Mukbang, eating show","조회수 272,060회",3.4천,99,댓글 322개,2020. 8. 31.
"요즘 제일 맛있어라 하는 떡볶이 20200831/Mukbang, eating show","조회수 1,437,485회",2만,510,"댓글 1,211개",2020. 8. 31.
"뭬님의 라면가게 칼빔면편!! 골뱅이와 대창 토핑은 덤!! 20200829/Mukbang, eating show","조회수 601,622회",7.6천,326,댓글 387개,2020. 8. 30.
"(광고예용) 이 조합 실화? 순대볶음+김부각, 후식으로 모시가래떡까지 [어디까지팔아봤니2] 20200826/Mukbang","조회수 419,057회",8천,161,댓글 682개,2020. 8. 28.
"색색깔 유부초밥과 우동 그리고 팬케이크 20200827/Mukbang, eating show","조회수 689,820회",1만,237,댓글 650개,2020. 8. 27.
"치즈돈가스+냉모밀 그리고...네.... 20200826/Mukbang, eating show","조회수 761,137회",1만,273,댓글 768개,2020. 8. 25.
"섭웨잇~ 20200824/Mukbang, eating show","조회수 322,986회",4.3천,113,댓글 399개,2020. 8. 24.
"대창볶음 + 꼼장어볶음   20200824/Mukbang, eating show","조회수 313,826회",5.2천,110,댓글 258개,2020. 8. 24.
"[ENG] 토스트, 교촌치킨 그리고 등등... /20200819방송 편집버전","조회수 580,744회",7.6천,121,댓글 857개,2020. 8. 23.
[ENG] 동치미막국수와 차돌박이 후식 피자까지 먹방편~! /20200818방송 편집버전,"조회수 387,745회",5.5천,80,댓글 512개,2020. 8. 22.
"연남동 소이연남 + 과일화채 20200820/Mukbang, eating show","조회수 380,372회",6.1천,155,댓글 447개,2020. 8. 20.
"뭘...먹긴 먹었는데...20200819/Mukbang, eating show","조회수 981,371회",1.2만,418,"댓글 1,078개",2020. 8. 19.
"든든~~한 피자가 왔습니다. 20200818/Mukbang, eating show","조회수 351,081회",4.7천,102,댓글 287개,2020. 8. 18.
"차돌박이에 동치미국수를 싸악~ 20200818/Mukbang, eating show","조회수 445,695회",7.3천,146,댓글 442개,2020. 8. 18.
선물받은 케이크와 후식 떡 먹방~! 20200817/Mukbang,"조회수 444,300회",6.4천,174,댓글 404개,2020. 8. 17.
"햇님의 생일상 먹방 2020817/Mukbang, eating show","조회수 496,134회",9.5천,209,댓글 657개,2020. 8. 17.
[ENG] 햇님표 김밥 만들어 먹기 먹방편~! /20200812방송 편집버전,"조회수 384,745회",5.3천,123,댓글 477개,2020. 8. 16.
[ENG] 메론케이크과 곱창볶음 먹방편~! /20200811방송 편집버전,"조회수 515,674회",6.1천,109,댓글 580개,2020. 8. 15.
"아이스크림은 거들뿐,,,,수다방송입니다~ 20200813/Mukbang, eating show","조회수 259,918회",3.4천,73,댓글 258개,2020. 8. 13.
"슷하슷하 파슷하~20200813/Mukbang, eating show","조회수 616,094회",8.1천,220,댓글 428개,2020. 8. 13.
"챔취김밥 싸먹기 + 컵라면  20200812/Mukbang, eating show","조회수 1,247,170회",1.9만,519,"댓글 1,406개",2020. 8. 12.
"케이크 먹다가 곱창 먹다가 케이크 먹는 영상 20200811/Mukbang, eating show","조회수 579,056회",9.2천,195,댓글 836개,2020. 8. 11.
쩡소님의 초코푸딩과 바나나푸딩으로 후식 먹방 20200810/Mukbang,"조회수 362,586회",5.1천,94,댓글 385개,2020. 8. 10.
"아구찜티입고 아구찜 먹방 +볶음밥까지~! 20200810/Mukbang, eating show","조회수 382,236회",5.7천,133,댓글 353개,2020. 8. 10.
[ENG] 치즈 4번 추가한 응급실 떡볶이+크로플 먹방편~! /방송 편집버전,"조회수 709,322회",9.1천,137,댓글 736개,2020. 8. 9.
"[ENG] 참치회와 초밥, 후식 대창 먹방편~! /20200803방송 편집버전","조회수 649,568회",9.6천,144,댓글 884개,2020. 8. 8.
"눈감고 크로플 와앙  20200806/Mukbang, eating show","조회수 438,473회",7.2천,97,댓글 936개,2020. 8. 6.
"떡볶이를 먹는것 인가 치즈를 먹는것 인가 20200806/Mukbang, eating show","조회수 741,347회",1.3만,278,"댓글 1,007개",2020. 8. 6.
"KFC신제품 커넬통다리버거, 켄터키통다리구이, 에그타르트 먹방~! 20200805/Mukbang, eating show","조회수 485,155회",8.4천,115,댓글 954개,2020. 8. 5.
"뜨끈한 묵은지감자탕과 보쌈 먹방! 마무리 볶음밥까쥐~! 20200805/Mukbang, eating show","조회수 508,039회",8.6천,210,댓글 433개,2020. 8. 5.
"소대창구이와 소곱창전골 20200804/Mukbang, eating show","조회수 424,026회",6.9천,166,댓글 571개,2020. 8. 4.
"참치회 + 참치초밥 20200804/Mukbang, eating show","조회수 353,524회",6.3천,113,댓글 542개,2020. 8. 4.
투썸플레이스 밀크티쉬폰 케이크 먹방~! 20200803/Mukbang,"조회수 395,470회",5천,81,댓글 406개,2020. 8. 3.
"매콤 시원한 냉짬뽕과 꿔바로우 칠리새우 먹방~! 20200803/Mukbang, eating show","조회수 375,802회",4.4천,144,댓글 257개,2020. 8. 3.
[ENG/EDIT] 짜파게티 10개와 성심당 크레이프 케이크 먹방편~! /20200729방송 편집버전,"조회수 734,121회",8천,157,댓글 525개,2020. 8. 2.
[ENG/EDIT] 햇님표 곱도리탕과 후식 케이크 2판 먹방편~! /20200727방송 편집버전,"조회수 238,532회",2.8천,80,댓글 97개,2020. 8. 1.
"나중에 먹는 음식 20200730/Mukbang, eating show","조회수 268,682회",3.4천,105,댓글 184개,2020. 7. 30.
"JMTGR 다운타우너 20200730/Mukbang, eating show","조회수 212,631회",3.1천,106,댓글 207개,2020. 7. 30.
"대전 '성심당'부띠끄 크레이프케이크20200729/Mukbang, eating show","조회수 628,501회",7.8천,151,댓글 948개,2020. 7. 29.
"꾸덕꾸덕찐득찐득 짜뽜게뤼 10개가 뙇! 20200729/Mukbang, eating show","조회수 504,243회",7.3천,264,댓글 382개,2020. 7. 29.
"후식은 모니모니해도 치키치키치키늬~ 20200728/Mukbang, eating show","조회수 250,844회",3.3천,105,댓글 200개,2020. 7. 28.
"국물이 끝내줌돠!!! 20200728/Mukbang, eating show","조회수 157,377회",2.5천,89,댓글 153개,2020. 7. 28.
"파리바게트 초코케이크와 생크림케이크 20200727/Mukbang, eating show","조회수 266,935회",3.1천,85,댓글 189개,2020. 7. 27.
"닭다리만 21개?! 20200727/Mukbang, eating show","조회수 191,531회",2.7천,101,댓글 138개,2020. 7. 27.
"멜론 타르트 와앙!! 20200726/Mukbang, eating show","조회수 204,790회",3.1천,72,댓글 179개,2020. 7. 26.
"중복 특집!! 한우 45만원 어치 먹방~!! 20200726/Mukbang, eating show","조회수 368,803회",4.3천,257,댓글 192개,2020. 7. 26.
[ENG/EDIT] 뭬님의 라면가게 너구리 먹방편~! /20200721방송 편집버전,"조회수 374,365회",4.3천,101,댓글 336개,2020. 7. 25.
[ENG/EDIT] 보쌈 광어회 묵은지 삼합과 술 먹방편~! /20200718방송 편집버전,"조회수 154,273회",2.1천,61,댓글 115개,2020. 7. 24.
"백지영님이 가신 이후 수다 방송..20200723/Mukbang, eating show","조회수 166,679회",2.4천,89,댓글 101개,2020. 7. 23.
발라드의 신 백지영님과의 식사!!  20200723,"조회수 1,261,922회",1.8만,576,"댓글 1,097개",실시간 스트리밍 시작일: 2020. 7. 23.
"한번으로 족한 마라 떡볶이...습습후후 주의 그리고 이어서 먹는 피자 20200722 /Mukbang, eating show","조회수 454,508회",4.5천,331,댓글 191개,2020. 7. 22.
"'뭬'님의 라면가게 너구리편(16봉...재료소진으로 마감)20200721/Mukbang, eating show","조회수 489,311회",6.3천,238,댓글 618개,2020. 7. 21.
후식으로 아몬드 봉봉봉과 핫팩...(?) 먹방 20200721/Mukbang,"조회수 193,967회",2.2천,73,댓글 119개,2020. 7. 20.
"한입한입이 한입만!! 치참김볶밥~!! 20200720/Mukbang, eating show","조회수 232,952회",3.1천,83,댓글 151개,2020. 7. 20.
[ENG/EDIT] 전복누룽지백숙과 교촌 허니콤보 먹방편~! /20200716방송 편집버전,"조회수 138,891회",1.8천,49,댓글 90개,2020. 7. 19.
"#주의# 취하진 않았어효~...보쌈+회+묵은지 삼합 20200719/Mukbang, eating show","조회수 344,404회",4.9천,206,댓글 250개,2020. 7. 18.
[ENG/EDIT] 소갈비찜과 랜디스도넛 먹방편~! /20200714방송 편집버전,"조회수 372,251회",4.3천,113,댓글 210개,2020. 7. 17.
"초복특집!! 햇님표 전복누룽지삼계탕과 교촌 허니콤보 후식 과일까지 먹방!! 20200716/Mukbang, eating show","조회수 470,596회",4.6천,339,댓글 262개,2020. 7. 16.
첵스 파맛 + 첵스 초코맛  후식 먹방!!,"조회수 233,823회",3.5천,84,댓글 272개,2020. 7. 15.
스쿨푸드 특집 먹방!! 20200715/Mukbang,"조회수 443,592회",4.7천,150,댓글 198개,2020. 7. 15.
연남동에 오픈한 랜디스 도넛 후식 먹방!! 20200714/MUKBANG,"조회수 641,801회",7.6천,223,댓글 565개,2020. 7. 14.
매운 소갈비찜 먹방~! 20200714/Mukbang,"조회수 380,996회",5.2천,214,댓글 204개,2020. 7. 14.
[ENG/EDIT]  육회비빔밥 5개 편육회와 연어회 먹방편~! /20200708방송 편집버전,"조회수 164,497회",2.4천,64,댓글 131개,2020. 7. 12.
[ENG/EDIT]  뭬님의 튀김가게 먹방편~! /20200706방송 편집버전,"조회수 340,429회",3.9천,106,댓글 159개,2020. 7. 11.
"이래도 되나~싶게 샌드위치 만들고 먹방까지!! 20200710/Mukbang, eating show","조회수 445,026회",5.8천,172,댓글 410개,2020. 7. 10.
후식으로 맥도날드 트리플치즈버거와 쿼터파운더치즈디럭스 먹방~ 20200709/mukbang,"조회수 214,161회",2.6천,95,댓글 117개,2020. 7. 9.
"새콤달달 초계국수와 왕만두 낙지볶음 먹방~!! 20200709/Mukbang, eating show","조회수 265,799회",3.6천,121,댓글 188개,2020. 7. 9.
바스크 치즈케이크로 후식 먹방~! 20200708/Mukbang,"조회수 155,336회",1.7천,56,댓글 75개,2020. 7. 8.
"육회비빔밥과 육회반연어반 먹방~! 2020708/Mukbang, eating show","조회수 161,802회",2.2천,83,댓글 99개,2020. 7. 8.
"초밥과 뜨끈한 우동 먹방~! 20200707/Mukbang, eating show","조회수 235,555회",3.3천,103,댓글 183개,2020. 7. 7.
설빙 빙수 3종과 미니붕어빵으로 후식 먹방~ 20200706/Mukbang,"조회수 192,943회",2천,66,댓글 143개,2020. 7. 6.
"뭬님의 튀김가게 마지막(?) 영업!! 튀김과 떡볶이 냉모밀 먹방~!! 20200706/Mukbang, eating show","조회수 356,045회",4.2천,146,댓글 212개,2020. 7. 6.
[ENG/EDIT] 케이크와 빵만(?) 먹방편~! /20200701방송 편집버전,"조회수 324,743회",3.3천,85,댓글 229개,2020. 7. 5.
"[ENG/EDIT] 짜장면과 마라탕, 꿔바로우, 냉짬뽕 먹방편~! /20200628 방송 편집버전","조회수 600,592회",5.8천,146,댓글 271개,2020. 7. 4.
믿고먹는 햇님픽!! 닭갈비와 새우볶음밥 후식 와플까지 먹방~! /20200629방송,"조회수 128,496회",1.9천,87,댓글 143개,2020. 7. 3.
